,0
0,https://www.yelp.com/biz/around-cafe-arlington-heights-2?osq=cafe
1,https://www.yelp.com/biz/coquelicot-gallery-and-cafe-palatine-2?osq=cafe
2,https://www.yelp.com/biz/uptown-cafe-arlington-heights?osq=cafe
3,https://www.yelp.com/biz/bread-and-butter-cafe-palatine?osq=cafe
4,https://www.yelp.com/biz/cafe-de-oro-riverwoods?osq=cafe
5,https://www.yelp.com/biz/the-bakester-arlington-heights?osq=cafe
6,https://www.yelp.com/biz/honey-jam-cafe-arlington-heights?osq=cafe
7,https://www.yelp.com/biz/jelly-cafe-mount-prospect?osq=cafe
8,https://www.yelp.com/biz/morning-blend-mount-prospect-2?osq=cafe
9,https://www.yelp.com/biz/releaf-matcha-caf%C3%A9-arlington-heights?osq=cafe
10,https://www.yelp.com/biz/tous-les-jours-schaumburg?osq=cafe
11,https://www.yelp.com/biz/quarter-pole-coffee-arlington-heights?osq=cafe
12,https://www.yelp.com/biz/long-grove-coffee-long-grove?osq=cafe
13,https://www.yelp.com/biz/local-coffee-tea-and-sweets-des-plaines?osq=cafe
14,https://www.yelp.com/biz/starbucks-arlington-heights-10?osq=cafe
15,https://www.yelp.com/biz/handsome-bakery-and-cafe-schaumburg-3?osq=cafe
16,https://www.yelp.com/biz/covered-bridge-creamery-long-grove-2?osq=cafe
17,https://www.yelp.com/biz/jazz-cafe-wheeling?osq=cafe
18,https://www.yelp.com/biz/spunky-dunkers-arlington-heights-2?osq=cafe
19,https://www.yelp.com/biz/spunky-dunkers-donuts-palatine?osq=cafe
20,https://www.yelp.com/biz/starbucks-arlington-heights-7?osq=cafe
21,https://www.yelp.com/biz/donut-drop-schaumburg?osq=cafe
22,https://www.yelp.com/biz/starbucks-palatine-6?osq=cafe
23,https://www.yelp.com/biz/stans-donuts-and-coffee-schaumburg?osq=cafe
24,https://www.yelp.com/biz/starbucks-arlington-heights-11?osq=cafe
25,https://www.yelp.com/biz/java-junction-buffalo-grove?osq=cafe
26,https://www.yelp.com/biz/jazzmans-cafe-and-bakery-arlington-heights?osq=cafe
27,https://www.yelp.com/biz/dunkin-donuts-arlington-heights-4?osq=cafe
28,https://www.yelp.com/biz/stellas-place-wheeling-4?osq=cafe
29,https://www.yelp.com/biz/amazing-breads-and-cakes-des-plaines?osq=cafe
30,https://www.yelp.com/biz/stellas-place-wheeling?osq=cafe
31,https://www.yelp.com/biz/stellas-place-wheeling-5?osq=cafe
32,https://www.yelp.com/biz/le-peep-cafe-mount-prospect?osq=cafe
33,https://www.yelp.com/biz/bangkok-caf%C3%A9-arlington-heights-4?osq=cafe
34,https://www.yelp.com/biz/dunkin-donuts-arlington-heights-7?osq=cafe
35,https://www.yelp.com/biz/starbucks-palatine-7?osq=cafe
36,https://www.yelp.com/biz/starbucks-rolling-meadows-3?osq=cafe
37,https://www.yelp.com/biz/elsies-place-prospect-heights?osq=cafe
38,https://www.yelp.com/biz/dunkin-donuts-arlington-heights-6?osq=cafe
39,https://www.yelp.com/biz/starbucks-palatine-8?osq=cafe
40,https://www.yelp.com/biz/corner-bakery-cafe-schaumburg?osq=cafe
41,https://www.yelp.com/biz/starbucks-arlington-heights?osq=cafe
42,https://www.yelp.com/biz/starbucks-mt-prospect?osq=cafe
43,https://www.yelp.com/biz/starbucks-mount-prospect-5?osq=cafe
44,https://www.yelp.com/biz/starbucks-arlington-heights-4?osq=cafe
45,https://www.yelp.com/biz/starbucks-wheeling-5?osq=cafe
46,https://www.yelp.com/biz/ball-factory-mount-prospect-mount-prospect-2?osq=cafe
47,https://www.yelp.com/biz/starbucks-schaumburg-3?osq=cafe
48,https://www.yelp.com/biz/starbucks-palatine-2?osq=cafe
49,https://www.yelp.com/biz/dunkin-donuts-palatine-2?osq=cafe
50,https://www.yelp.com/biz/starbucks-buffalo-grove-4?osq=cafe
51,https://www.yelp.com/biz/marketplace-cafe-schaumburg-6?osq=cafe
52,https://www.yelp.com/biz/dunkin-donuts-arlington-heights?osq=cafe
53,https://www.yelp.com/biz/starbucks-rolling-meadows?osq=cafe
54,https://www.yelp.com/biz/dunkin-donuts-buffalo-grove-5?osq=cafe
55,https://www.yelp.com/biz/dunkin-donuts-palatine-3?osq=cafe
56,https://www.yelp.com/biz/starbucks-wheeling?osq=cafe
57,https://www.yelp.com/biz/life-cafe-schaumburg?osq=cafe
58,https://www.yelp.com/biz/starbucks-wheeling-3?osq=cafe
59,https://www.yelp.com/biz/starbucks-arlington-heights-2?osq=cafe
60,https://www.yelp.com/biz/starbucks-palatine-4?osq=cafe
61,https://www.yelp.com/biz/argo-tea-schaumburg?osq=cafe
62,https://www.yelp.com/biz/dunkin-donuts-arlington-heights-3?osq=cafe
63,https://www.yelp.com/biz/starbucks-schaumburg-13?osq=cafe
64,https://www.yelp.com/biz/dunkin-donuts-rolling-meadows?osq=cafe
65,https://www.yelp.com/biz/dunkin-donuts-wheeling?osq=cafe
66,https://www.yelp.com/biz/shelbys-hoffman-estates?osq=cafe
67,https://www.yelp.com/biz/starbucks-palatine-9?osq=cafe
68,https://www.yelp.com/biz/dunkin-donuts-rolling-mdws?osq=cafe
69,https://www.yelp.com/biz/starbucks-schaumburg-19?osq=cafe
70,https://www.yelp.com/biz/pure-water-systems-of-chicagoland-carol-stream-2?osq=cafe
71,https://www.yelp.com/biz/dunkin-donuts-rolling-meadows-4?osq=cafe
72,https://www.yelp.com/biz/meadows-cafe-rolling-meadows?osq=cafe
73,https://www.yelp.com/biz/chicago-treehouse-lake-zurich?osq=cafe
74,https://www.yelp.com/biz/starbucks-schaumburg-16?osq=cafe
75,https://www.yelp.com/biz/dunkin-donuts-des-plaines?osq=cafe
76,https://www.yelp.com/biz/starbucks-long-grove?osq=cafe
77,https://www.yelp.com/biz/tea-canal-2-schaumburg?osq=cafe
78,https://www.yelp.com/biz/starbucks-schaumburg-7?osq=cafe
79,https://www.yelp.com/biz/dunkin-donuts-mount-prospect-5?osq=cafe
80,https://www.yelp.com/biz/dunkin-donuts-schaumburg-3?osq=cafe
81,https://www.yelp.com/biz/dunkin-donuts-mount-prospect-9?osq=cafe
82,https://www.yelp.com/biz/ebar-schaumburg?osq=cafe
83,https://www.yelp.com/biz/starbucks-deer-park-2?osq=cafe
84,https://www.yelp.com/biz/dunkin-donuts-buffalo-grove-3?osq=cafe
85,https://www.yelp.com/biz/dunkin-donuts-baskin-robbins-prospect-heights?osq=cafe
86,https://www.yelp.com/biz/dunkin-donuts-mount-prospect-7?osq=cafe
87,https://www.yelp.com/biz/illy-lincolnshire?osq=cafe
88,https://www.yelp.com/biz/the-muffin-bar-mount-prospect?osq=cafe
89,https://www.yelp.com/biz/united-coffee-service-schaumburg?osq=cafe
90,https://www.yelp.com/biz/dunkin-donuts-prospect-heights?osq=cafe
91,https://www.yelp.com/biz/starbucks-buffalo-grove-2?osq=cafe
92,https://www.yelp.com/biz/stellas-place-hoffman-estates-4?osq=cafe
93,https://www.yelp.com/biz/starbucks-schaumburg-17?osq=cafe
94,https://www.yelp.com/biz/starbucks-kildeer-2?osq=cafe
95,https://www.yelp.com/biz/dunkin-donuts-des-plaines-6?osq=cafe
96,https://www.yelp.com/biz/starbucks-schaumburg-12?osq=cafe
97,https://www.yelp.com/biz/dunkin-donuts-buffalo-grove-2?osq=cafe
98,https://www.yelp.com/biz/starbucks-schaumburg-18?osq=cafe
99,https://www.yelp.com/biz/dunkin-donuts-schaumburg-6?osq=cafe
100,https://www.yelp.com/biz/heavenly-brew-des-plaines?osq=cafe
101,https://www.yelp.com/biz/european-imports-arlington-heights?osq=cafe
102,https://www.yelp.com/biz/wallys-coffeehouse-schaumburg?osq=cafe
103,https://www.yelp.com/biz/brewsmart-beverage-elk-grove-village?osq=cafe
104,https://www.yelp.com/biz/gravitea-schaumburg?osq=cafe
105,https://www.yelp.com/biz/bs-sweet-bites-des-plaines?osq=cafe
106,https://www.yelp.com/biz/kaffeestube-schaumburg?osq=cafe
107,https://www.yelp.com/biz/andys-cafe-des-plaines-2?osq=cafe
108,https://www.yelp.com/biz/spitiko-cafe-greek-art-of-dough-schaumburg-2?osq=cafe
109,https://www.yelp.com/biz/kids-art-and-caf%C3%A9-schaumburg-2?osq=cafe
110,https://www.yelp.com/biz/krispy-kreme-elk-grove-village-2?osq=cafe
111,https://www.yelp.com/biz/starbucks-elk-grove-village-4?osq=cafe
112,https://www.yelp.com/biz/the-landings-cafe-rosemont?osq=cafe
113,https://www.yelp.com/biz/dunkin-donuts-elk-grove-village-5?osq=cafe
114,https://www.yelp.com/biz/cafe-de-jour-des-plaines?osq=cafe
115,https://www.yelp.com/biz/dunkin-donuts-schaumburg-9?osq=cafe
116,https://www.yelp.com/biz/united-elk-grove-village?osq=cafe
117,https://www.yelp.com/biz/starbucks-elk-grove-village-3?osq=cafe
118,https://www.yelp.com/biz/starbucks-des-plaines?osq=cafe
119,https://www.yelp.com/biz/starbucks-rosemont-8?osq=cafe
120,https://www.yelp.com/biz/dunkin-donuts-elk-grove-village-8?osq=cafe
121,https://www.yelp.com/biz/starbucks-elk-grove-village-6?osq=cafe
122,https://www.yelp.com/biz/a-associated-coffee-service-elk-grove-village?osq=cafe
123,https://www.yelp.com/biz/starbucks-des-plaines-3?osq=cafe
124,https://www.yelp.com/biz/dunkin-donuts-elk-grove-village-6?osq=cafe
125,https://www.yelp.com/biz/dunkin-donuts-elk-grove-village-4?osq=cafe
126,https://www.yelp.com/biz/dunkin-donuts-elk-grove-village-3?osq=cafe
127,https://www.yelp.com/biz/dunkin-donuts-des-plaines-2?osq=cafe
128,https://www.yelp.com/biz/dunkin-donuts-roselle-8?osq=cafe
129,https://www.yelp.com/biz/dunkin-donuts-bensenville-2?osq=cafe
130,https://www.yelp.com/biz/coffee-xpress-schaumburg?osq=cafe
131,https://www.yelp.com/biz/dunkin-donuts-schaumburg-2?osq=cafe
132,https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe
133,https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe
134,https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe
135,https://www.yelp.com/biz/build-coffee-chicago?osq=cafe
136,https://www.yelp.com/biz/sanctuary-cafe-chicago?osq=cafe
137,https://www.yelp.com/biz/greenline-coffee-chicago?osq=cafe
138,https://www.yelp.com/biz/grounds-of-being-the-divinity-school-coffee-shop-chicago?osq=cafe
139,https://www.yelp.com/biz/caf%C3%A9-logan-chicago?osq=cafe
140,https://www.yelp.com/biz/cafe-53-chicago?osq=cafe
141,https://www.yelp.com/biz/dollop-coffee-chicago-5?osq=cafe
142,https://www.yelp.com/biz/pret-a-manger-chicago-17?osq=cafe
143,https://www.yelp.com/biz/peachs-at-currency-exchange-cafe-chicago?osq=cafe
144,https://www.yelp.com/biz/sip-and-savor-chicago?osq=cafe
145,https://www.yelp.com/biz/ex-libris-chicago?osq=cafe
146,https://www.yelp.com/biz/truenorth-cafe-hyde-park-chicago-2?osq=cafe
147,https://www.yelp.com/biz/chef-saras-cafe-chicago?osq=cafe
148,https://www.yelp.com/biz/kusanya-cafe-chicago?osq=cafe
149,https://www.yelp.com/biz/bridgeport-coffee-chicago-2?osq=cafe
150,https://www.yelp.com/biz/heritage-cafe-chicago?osq=cafe
151,https://www.yelp.com/biz/sip-and-savor-chicago-3?osq=cafe
152,https://www.yelp.com/biz/aint-she-sweet-cafe-chicago?osq=cafe
153,https://www.yelp.com/biz/the-university-of-chicago-bookstore-cafe-chicago?osq=cafe
154,https://www.yelp.com/biz/stonys-palace-cafe-chicago?osq=cafe
155,https://www.yelp.com/biz/starbucks-chicago-316?osq=cafe
156,https://www.yelp.com/biz/starbucks-chicago-122?osq=cafe
157,https://www.yelp.com/biz/spoken-word-cafe-chicago?osq=cafe
158,https://www.yelp.com/biz/starbucks-chicago-185?osq=cafe
159,https://www.yelp.com/biz/cobb-coffee-shop-chicago?osq=cafe
160,https://www.yelp.com/biz/crack-in-the-cup-coffee-and-tea-chicago?osq=cafe
161,https://www.yelp.com/biz/einstein-bros-bagels-chicago-23?osq=cafe
162,https://www.yelp.com/biz/starbucks-chicago-474?osq=cafe
163,https://www.yelp.com/biz/classics-cafe-chicago?osq=cafe
164,https://www.yelp.com/biz/starbucks-chicago-195?osq=cafe
165,https://www.yelp.com/biz/bake-for-me-chicago-3?osq=cafe
166,https://www.yelp.com/biz/cis-cafe-chicago?osq=cafe
167,https://www.yelp.com/biz/uncle-joes-coffee-bar-and-lounge-chicago?osq=cafe
168,https://www.yelp.com/biz/bio-cafe-chicago?osq=cafe
169,https://www.yelp.com/biz/starbucks-chicago-468?osq=cafe
170,https://www.yelp.com/biz/jazzmans-cafe-and-bakery-chicago-4?osq=cafe
171,https://www.yelp.com/biz/dunkin-donuts-chicago-321?osq=cafe
172,https://www.yelp.com/biz/oasis-cafe-chicago-2?osq=cafe
173,https://www.yelp.com/biz/dunkin-donuts-baskin-robbins-chicago-31?osq=cafe
174,https://www.yelp.com/biz/evelyns-food-love-chicago?osq=cafe
175,https://www.yelp.com/biz/dunkin-donuts-chicago-317?osq=cafe
176,https://www.yelp.com/biz/starbucks-chicago-416?osq=cafe
177,https://www.yelp.com/biz/dunkin-donuts-chicago-90?osq=cafe
178,https://www.yelp.com/biz/dunkin-donuts-chicago-183?osq=cafe
179,https://www.yelp.com/biz/spoons-coffee-boutique-chicago?osq=cafe
180,https://www.yelp.com/biz/dunkin-donuts-chicago-290?osq=cafe
181,https://www.yelp.com/biz/dunkin-donuts-chicago-291?osq=cafe
182,https://www.yelp.com/biz/dunkin-donuts-chicago-179?osq=cafe
183,https://www.yelp.com/biz/dunkin-donuts-chicago-219?osq=cafe
184,https://www.yelp.com/biz/dunkin-donuts-chicago-267?osq=cafe
